Name,Date,Location,Type,Region
Super Diamond – The Neil Diamond Tribute Band,1/26/2024, The Showbox,Music,Downtown
Harlem Globetrotters,1/27/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Ilana Glazer Live,2/8/2024, The Moore Theatre,Theatre,Downtown
Guitar Gallery,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Mau P,2/3/2024, The Showbox,Music,Downtown
Seattle Chamber Music Winter Festival,1/26/2024 through 2/4/2024, Benaroya Hall,Music,Downtown
Blood Sweat  and Tears,2/8/2024 through 2/11/2024, Dimitriou's Jazz Alley,Music,Downtown
Madeline Pendleton,1/25/2024, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024, National Nordic Museum,Museums,Fremont / Ballard
Art and Transformation,2/8/2024, Bainbridge Island Museum of Art,Readings & Lectures,West
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024, Benaroya Hall,Music,Downtown
Show Me Seattle Tours,Ongoing," Seattle, WA",Tours & Attractions,Downtown
Life on the Edge,Ongoing, Seattle Aquarium,Museums,Downtown
American Art: The Stories We Carry,Ongoing, Seattle Art Museum,Museums,Downtown
Bohemia,Now through 1/28/2024, The Triple Door,Theatre,Downtown
TobyMac Hits Deep 2024,2/17/2024, accesso ShoWare Center,Music,South
Erik Walters,2/2/2024, Barboza,Music,Capitol Hill / Central District
Catalyzing Change with Akuyea Karen Vargas,2/1/2024, Bainbridge Island Museum of Art,Readings & Lectures,West
Love at the Zoo,2/10/2024 through 2/11/2024, Point Defiance Zoo and Aquarium,Festivals & Special Events,South
Frye Salon,Now through 10/27/2024, Frye Art Museum,Museums,Capitol Hill / Central District
Northwest Native Art,Ongoing, Burke Museum,Museums,University District
Lil Skies,2/4/2024, The Showbox,Music,Downtown
Art Walk Edmonds | Every Third Thursday,Ongoing, Cascadia Art Museum,Visual Arts & Galleries,North
Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024, Dimitriou's Jazz Alley,Music,Downtown
Nirvana: Taking Punk To the Masses,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024, Dimitriou's Jazz Alley,Music,Downtown
Seattle Kraken vs. Chicago Blackhawks,1/24/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Dungeons and Drag Queens,1/26/2024, The Crocodile,Theatre,Downtown
Underwater Dome,Ongoing, Seattle Aquarium,Museums,Downtown
Dale Chihuly at Tacoma Art Museum,Ongoing, Tacoma Art Museum,Museums,South
Native Portraiture: Power and Perception,Now through 3/17/2024, Tacoma Art Museum,Museums,South
Dark Star Orchestra,2/9/2024, The Showbox,Music,Downtown
JVNA,2/10/2024, The Showbox,Music,Downtown
Kenny Barron Trio,2/6/2024 through 2/7/2024, Dimitriou's Jazz Alley,Music,Downtown
Capitol Hill Farmers Market – Sunday,Ongoing, Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District
Tourist and Amtrac,2/11/2024, The Showbox,Music,Downtown
Opera on Tap,1/24/2024, The Royal Room,Music,South Seattle
Boundless: Stories of Asian Art,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
From Mozart to Matthews,2/20/2024, Benaroya Hall,Music,Downtown
"Wu Han, Philip Setzer & David Finckel",2/20/2024, Meany Center for the Performing Arts,Music,University District
Circa:Humans 2.0,2/15/2024 through 2/17/2024, Meany Center for the Performing Arts,Theatre,University District
Cheryl Wheeler,1/30/2024, The Triple Door,Music,Downtown
Gov’t Mule,2/9/2024, The Moore Theatre,Music,Downtown
Madonna,2/17/2024 through 2/18/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Meet our Marine Mammals,Ongoing, Seattle Aquarium,Museums,Downtown
Harlem Globetrotters 2024 World Tour –,1/26/2024, accesso ShoWare Center,Sports,South
Family Day with Birds Connect Seattle,1/28/2024, National Nordic Museum,Museums,Fremont / Ballard
Seattle Kraken vs. St. Louis Blues,1/26/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Boat Show,2/2/2024 through 2/10/2024, Lumen Field,Festivals & Special Events,Pioneer Square
The Thorn,2/8/2024 through 2/9/2024, The Paramount Theatre,Theatre,Downtown
The Human Family,1/27/2024, Opera Center,Music,Queen Anne / Seattle Center
John Grade: Middle Fork,Ongoing, Seattle Art Museum,Museums,Downtown
Luchadora!,2/22/2024 through 3/10/2024, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
Moontricks,2/9/2024, The Crocodile,Music,Downtown
Chihuly Garden and Glass,Ongoing, Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center
Barry Can’t Swim,2/9/2024, Neumos,Music,Capitol Hill / Central District
Adira Sharkey,1/29/2024, Tractor Tavern,Music,Fremont / Ballard
The Budos Band,1/27/2024, The Showbox,Music,Downtown
"Once More, Just For You",2/5/2024 through 2/25/2024, Seattle Public Theater,Theatre,Wallingford / Greenlake
Kenzan Tsutakawa-Chinn: Gather,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Pacific Species,Ongoing, Seattle Art Museum,Museums,Downtown
Science Fiction and Fantasy Hall of Fame,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
True Northwest: The Seattle Journey,Ongoing, Museum of History & Industry,Museums,Queen Anne / Seattle Center
October London,1/25/2024, The Showbox,Music,Downtown
Pioneer Square First Thursday Art Walk,Ongoing, Pioneer Square,Visual Arts & Galleries,Pioneer Square
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024, Seattle Art Museum,Museums,Downtown
Poolside,2/2/2024, The Showbox,Music,Downtown
Brazilian Carnaval 2024,2/10/2024, The Crocodile,Music,Downtown
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026, Bellevue Arts Museum,Museums,Bellevue / Eastside
Be/longing: Contemporary Asian Art,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Tacoma Stars vs. Monterrey Flash,2/2/2024, accesso ShoWare Center,Sports,South
JP Saxe,1/31/2024, The Showbox,Music,Downtown
Raul de Nieves,Now through 9/30/2024, Henry Art Gallery,Museums,University District
PBS – Peter Band Supreme,1/24/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
Washington: My Home,Ongoing, Washington State History Museum,Museums,South
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024, Town Hall Seattle,Readings & Lectures,Downtown
Manazma Sheen,Ongoing, Sea Monster Lounge,Music,Wallingford / Greenlake
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing, Wing Luke Museum,Museums,International District
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024, Benaroya Hall,Music,Downtown
Sergio Mendes,2/1/2024 through 2/4/2024, Dimitriou's Jazz Alley,Music,Downtown
University District Farmers Market,Ongoing, University District Farmers Market,Festivals & Special Events,University District
Our Material World,Ongoing, Burke Museum,Museums,University District
Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024, Frye Art Museum,Museums,Capitol Hill / Central District
Tropical Pacific,Ongoing, Seattle Aquarium,Museums,Downtown
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Olympic Sculpture Park,Ongoing, Olympic Sculpture Park,Visual Arts & Galleries,Downtown
Culture is Living,Ongoing, Burke Museum,Museums,University District
Seattle Museum Month,2/1/2024 through 2/29/2024, Downtown Seattle,Museums,Downtown
Silent Planet,1/24/2024, El Corazon,Music,Downtown
Infinite Worlds of Science Fiction,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Nora En Pure,2/2/2024, Showbox SoDo,Music,Pioneer Square
Apollo,Ongoing, The Museum of Flight,Museums,South Seattle
The Temptations &  The Four Tops,2/10/2024, The Paramount Theatre,Music,Downtown
Jahari Stampley,1/30/2024 through 1/31/2024, Dimitriou's Jazz Alley,Music,Downtown
A Case for the Existence of God,2/2/2024 through 2/18/2024, ACT Theatre,Theatre,Downtown
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Global Rhythms: Yungchen Lhamo,1/26/2024, Town Hall Seattle,Music,Downtown
Explore The Market,Ongoing, Pike Place Market,Festivals & Special Events,Downtown
Amazing Life,Ongoing, Burke Museum,Museums,University District
Great Hall of Washington History,Ongoing, Washington State History Museum,Museums,South
Bezos Center for Innovation,Ongoing, Museum of History & Industry,Museums,Queen Anne / Seattle Center
Soren Solkaer: Sort Sol,Now through 3/10/2024, National Nordic Museum,Museums,Fremont / Ballard
The Delta Bombers,2/3/2024, El Corazon,Music,Downtown
Seattle Kraken vs. Vancouver Canucks,2/22/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Andy Coe Band,1/26/2024 through 1/27/2024, Nectar Lounge,Music,Fremont / Ballard
Mayer Hawthorne,2/9/2024, The Neptune Theatre,Music,University District
Positive Fragmentation,Now through 3/10/2024, Bellevue Arts Museum,Museums,Bellevue / Eastside
Window on Washington Waters,Ongoing, Seattle Aquarium,Museums,Downtown
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024, Wing Luke Museum,Museums,International District
Seattle Kraken vs. Detroit Red Wings,2/19/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Mister Blank,2/8/2024, Nectar Lounge,Music,Fremont / Ballard
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024, Benaroya Hall,Music,Downtown
Art by Design,2/9/2024 through 2/10/2024, Seattle Design Center,Visual Arts & Galleries,Downtown
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024, National Nordic Museum,Museums,Fremont / Ballard
Eric Bellinger,2/8/2024, The Showbox,Music,Downtown
Pakt,2/1/2024, Funhouse,Music,Capitol Hill / Central District
Fossils Uncovered,Ongoing, Burke Museum,Museums,University District
