Name,Date,Location,Type,Region,Latitude,Longitude,Weather Code,Max Temperature,Min Temperature,Weather Forecast
Fragments of the Sea II,3/7/2024 through 3/30/2024, Gallery 110,Visual Arts & Galleries,Pioneer Square,47.6012826,-122.330069,0,6.5,-1.1,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.05996227264404297, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 20.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.5], 'temperature_2m_min': [-1.1]}}"
Seattle Kraken vs. Anaheim Ducks,3/26/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.04100799560546875, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Blank Canvas,3/24/2024, High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,3,14.1,-0.3,"{'latitude': 41.69963, 'longitude': -93.64569, 'generationtime_ms': 0.06103515625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 293.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [14.1], 'temperature_2m_min': [-0.3]}}"
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024, Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,1,6.5,-1.2,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06210803985595703, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 3.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.5], 'temperature_2m_min': [-1.2]}}"
Humboldt Penguin Exhibit,Ongoing, Woodland Park Zoo,Museums,Wallingford / Greenlake,47.669143399999996,-122.35096188536495,2,5.6,-1.4,"{'latitude': 47.67254, 'longitude': -122.35603, 'generationtime_ms': 0.0749826431274414, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 107.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [2], 'temperature_2m_max': [5.6], 'temperature_2m_min': [-1.4]}}"
Coco Montoya,3/9/2024, The Triple Door,Music,Downtown,47.6086439,-122.337685,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06198883056640625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024, National Nordic Museum,Museums,Fremont / Ballard,47.668285600000004,-122.39177691452363,1,6.0,0.3,"{'latitude': 47.66542, 'longitude': -122.394135, 'generationtime_ms': 0.06508827209472656, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 9.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.0], 'temperature_2m_min': [0.3]}}"
Explore The Market,Ongoing, Pike Place Market,Festivals & Special Events,Downtown,47.60939675,-122.34141017673986,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06699562072753906, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 44.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Something’s Afoot,Now through 3/24/2024, The 5th Avenue Theatre,Theatre,Downtown,39.7329068,-75.1300389,63,11.9,8.3,"{'latitude': 39.732975, 'longitude': -75.1207, 'generationtime_ms': 0.048041343688964844, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 40.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [63], 'temperature_2m_max': [11.9], 'temperature_2m_min': [8.3]}}"
Beetlejuice,4/2/2024 through 4/7/2024, The Paramount Theatre,Theatre,Downtown,40.8697559,-73.42561952873208,63,10.8,6.9,"{'latitude': 40.874462, 'longitude': -73.420135, 'generationtime_ms': 0.06699562072753906, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 21.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [63], 'temperature_2m_max': [10.8], 'temperature_2m_min': [6.9]}}"
My Dinner with SAM,3/13/2024, Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.05900859832763672, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 41.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Noize MC,4/1/2024, The Showbox,Music,Downtown,47.6085136,-122.3394726,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06198883056640625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 42.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Winter in the West,Ongoing, Tacoma Art Museum,Museums,South,47.2475134,-122.43680521780016,2,6.6,-1.2,"{'latitude': 47.244843, 'longitude': -122.42595, 'generationtime_ms': 0.05507469177246094, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 19.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [2], 'temperature_2m_max': [6.6], 'temperature_2m_min': [-1.2]}}"
Luchadora!,Now through 3/10/2024, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,47.6204553,-122.35225726215312,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.0699758529663086, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Ricky Montgomery,3/16/2024, The Showbox,Music,Downtown,47.6085136,-122.3394726,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.0890493392944336, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 42.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Health,3/28/2024, The Showbox,Music,Downtown,47.6085136,-122.3394726,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.05805492401123047, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 42.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Northwest Native Art,Ongoing, Burke Museum,Museums,University District,47.6605211,-122.31156049949824,2,6.3,-1.8,"{'latitude': 47.653973, 'longitude': -122.3074, 'generationtime_ms': 0.06604194641113281, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 66.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [2], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.8]}}"
Festal: Irish Festival Seattle,3/16/2024 through 3/17/2024, Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,47.621255,-122.34974101387942,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06699562072753906, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 41.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Hippie Sabotage,4/3/2024, Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,0,6.6,-1.0,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.06198883056640625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 5.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.6], 'temperature_2m_min': [-1.0]}}"
Taste Washington: The New Vintage,3/15/2024, Pier 62,Festivals & Special Events,Downtown,47.60853229999999,-122.34484275866666,1,6.5,-1.2,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.05698204040527344, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 3.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.5], 'temperature_2m_min': [-1.2]}}"
Zakir Khan Live,3/24/2024, The Moore Theatre,Theatre,Downtown,42.2896932,-83.7207314,3,7.2,4.1,"{'latitude': 42.292328, 'longitude': -83.736755, 'generationtime_ms': 0.0699758529663086, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 263.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [7.2], 'temperature_2m_min': [4.1]}}"
Benjamin Wurgaft and Merry White,3/15/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06699562072753906, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
The 350’s,4/2/2024, Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,1,5.9,-1.7,"{'latitude': 47.646866, 'longitude': -122.345505, 'generationtime_ms': 0.051021575927734375, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 86.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [5.9], 'temperature_2m_min': [-1.7]}}"
Text Me Back Live,3/15/2024, Town Hall Seattle,Theatre,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06008148193359375, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
Brian Posehn,3/16/2024, The Neptune Theatre,Theatre,University District,,,,,,
Lifecycle of Seattle Artists,3/26/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.08797645568847656, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
Arizona Zervas,4/5/2024, Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,1,6.3,-1.2,"{'latitude': 47.646866, 'longitude': -122.345505, 'generationtime_ms': 0.06091594696044922, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 18.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.2]}}"
Taste Washington: The Seminars,3/16/2024," Seattle, WA",Festivals & Special Events,Downtown,47.6038321,-122.330062,0,6.4,-1.2,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.06794929504394531, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 40.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.4], 'temperature_2m_min': [-1.2]}}"
Holding / Movement,3/8/2024, Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.0680685043334961, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 42.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Boundless: Stories of Asian Art,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,1,6.0,-2.2,"{'latitude': 47.628304, 'longitude': -122.29689, 'generationtime_ms': 0.03910064697265625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 137.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.0], 'temperature_2m_min': [-2.2]}}"
Ballard Farmers Market – Sunday,Ongoing, Ballard Farmers Market,Festivals & Special Events,Fremont / Ballard,,,,,,
True Loves,3/19/2024, Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,1,6.3,-1.4,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06699562072753906, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 32.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.4]}}"
Seattle Kraken vs. Nashville Predators,3/16/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06592273712158203, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Live Wire with Luke Burbank,3/29/2024, Town Hall Seattle,Theatre,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.05710124969482422, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
Cat Power,3/13/2024, The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,3,7.2,4.1,"{'latitude': 42.292328, 'longitude': -83.736755, 'generationtime_ms': 0.06401538848876953, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 263.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [7.2], 'temperature_2m_min': [4.1]}}"
Tim Berne Trio,3/13/2024, The Royal Room,Music,South Seattle,32.2275723,-110.9685178,3,24.1,8.6,"{'latitude': 32.223236, 'longitude': -110.9651, 'generationtime_ms': 0.06496906280517578, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 725.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [24.1], 'temperature_2m_min': [8.6]}}"
Fossils Uncovered,Ongoing, Burke Museum,Museums,University District,47.6605211,-122.31156049949824,2,6.3,-1.8,"{'latitude': 47.653973, 'longitude': -122.3074, 'generationtime_ms': 0.07092952728271484, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 66.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [2], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.8]}}"
Lee McIntyre: A History of Disinformation,3/21/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07200241088867188, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
Mania the ABBA Tribute,3/20/2024, The Neptune Theatre,Music,University District,,,,,,
Rhapsody in Shmaltz,3/10/2024, The Royal Room,Music,South Seattle,32.2275723,-110.9685178,3,24.1,8.6,"{'latitude': 32.223236, 'longitude': -110.9651, 'generationtime_ms': 0.0629425048828125, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 725.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [24.1], 'temperature_2m_min': [8.6]}}"
Deities and Demons: Supernatural in Japanese Art,Ongoing, Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07104873657226562, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 41.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Alkaline Trio,3/23/2024, Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,0,6.6,-1.0,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.06592273712158203, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 5.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.6], 'temperature_2m_min': [-1.0]}}"
Dadi Freyr,3/22/2024, Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,0,6.6,-1.0,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.07295608520507812, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 5.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.6], 'temperature_2m_min': [-1.0]}}"
